date,w1_bid,w1_oi,w1_vol,w2_bid,w2_oi,w2_vol
2020-12-09,575.0,18.0,10.0,584.5,189444.0,55893.0
2020-12-10,553.0,8.0,5.0,597.75,185099.0,74491.0
2020-12-11,553.0,5.0,8.0,617.0,186525.0,85723.0
2020-12-14,,20.0,20.0,597.25,182916.0,74274.0
2020-12-15,601.0,183501.0,51418.0,599.5,51990.0,13010.0
2020-12-16,598.0,182660.0,56478.0,599.5,51629.0,15439.0
2020-12-17,609.5,183616.0,43431.0,603.0,53751.0,11553.0
2020-12-18,607.5,183303.0,42169.0,605.5,54862.0,13789.0
2020-12-21,611.25,182639.0,48422.0,608.0,55073.0,12914.0
2020-12-22,615.75,184760.0,55034.0,614.0,54388.0,15662.0
2020-12-23,631.0,191083.0,69513.0,626.25,55717.0,21291.0
2020-12-24,626.0,187646.0,35656.0,624.25,56322.0,9818.0
2020-12-28,614.5,185067.0,53532.0,611.0,56398.0,13990.0
2020-12-29,619.0,184688.0,35420.0,618.0,55789.0,10410.0
2020-12-30,640.0,193788.0,71654.0,629.75,57150.0,20550.0
2020-12-31,641.75,193713.0,44927.0,632.0,57946.0,13567.0
2021-01-04,642.75,194310.0,66782.0,632.0,58049.0,24523.0
2021-01-05,654.0,198817.0,81173.0,647.5,60946.0,31954.0
2021-01-06,647.25,199400.0,60850.0,648.0,61712.0,27890.0
2021-01-07,643.75,196508.0,47486.0,638.75,61264.0,14766.0
2021-01-08,638.0,195816.0,56138.0,635.75,61750.0,19474.0
2021-01-11,636.75,191634.0,58069.0,632.25,60904.0,20475.0
2021-01-12,660.5,192298.0,80416.0,664.5,62810.0,33908.0
2021-01-13,659.5,188810.0,80724.0,655.0,64680.0,30685.0
2021-01-14,670.75,191980.0,63304.0,656.75,66315.0,23309.0
2021-01-15,674.75,186628.0,77447.0,666.25,70634.0,38867.0
2021-01-19,673.75,186567.0,63501.0,673.75,72786.0,29037.0
2021-01-20,667.0,185065.0,66033.0,658.0,74043.0,30173.0
2021-01-21,659.25,182891.0,50212.0,659.0,74895.0,17510.0
2021-01-22,635.0,176933.0,76808.0,633.25,74710.0,32615.0
2021-01-25,648.75,176332.0,64721.0,641.0,77211.0,30311.0
2021-01-26,664.75,177575.0,68363.0,661.0,79115.0,33465.0
2021-01-27,656.75,173951.0,54190.0,654.75,79886.0,26871.0
2021-01-28,646.75,169478.0,65434.0,645.75,81978.0,36791.0
2021-01-29,662.5,169647.0,60153.0,655.0,83091.0,28684.0
2021-02-01,655.0,167366.0,55799.0,651.0,84825.0,28450.0
2021-02-02,644.5,163326.0,46873.0,645.0,83741.0,26788.0
2021-02-03,646.5,163437.0,77131.0,649.25,84733.0,55861.0
2021-02-04,635.5,158701.0,66019.0,637.0,87216.0,45054.0
2021-02-05,641.0,142273.0,78451.0,643.0,98822.0,64482.0
2021-02-08,657.75,128336.0,102705.0,661.0,103684.0,79548.0
2021-02-09,651.5,109140.0,124145.0,656.75,120178.0,99889.0
2021-02-10,634.75,99133.0,98577.0,639.0,129255.0,76432.0
2021-02-11,632.0,91400.0,79697.0,637.25,141966.0,67439.0
