date,c1_bid,c1_oi,c1_vol,c2_bid,c2_oi,c2_vol,spread_c1_c2,spread_pct,d_c1_oi,d_c2_oi,roll_pressure,vol_ratio,oi_ratio,ret_1d,ret_5d,ret_21d
2020-12-09,420.0,2327.0,1079.0,423.25,872171.0,87642.0,-3.25,-0.007738095238076814,,,,0.012311448848725356,0.0026680547736625012,,,
2020-12-10,419.0,1432.0,1262.0,421.75,870347.0,129701.0,-2.75,-0.006563245823373358,-895.0,-1824.0,929.0,0.009730071472078012,0.0016453207743578116,-0.0023809523809523725,,
2020-12-11,424.5,219.0,1724.0,423.5,867614.0,105879.0,1.0,0.0023557126030568773,-1213.0,-2733.0,1520.0,0.016282737842253737,0.0002524163971535726,0.013126491646778149,,
2020-12-14,,69.0,200.0,424.0,862016.0,108692.0,,,-150.0,-5598.0,5448.0,0.0018400618260773392,8.004491795975935e-05,0.0,,
2020-12-15,424.75,858006.0,98612.0,428.25,246440.0,29411.0,-3.5,-0.00824014125954505,857937.0,-615576.0,1473513.0,3.352895175274443,3.4816020126602685,0.0005889281507656108,,
2020-12-16,426.25,852176.0,111651.0,429.0,247669.0,41015.0,-2.75,-0.006451612903210671,-5830.0,1229.0,-7059.0,2.7221991954162448,3.4407858876161193,0.0035314891112419033,0.014880952380952328,
2020-12-17,432.0,850530.0,119655.0,434.0,248154.0,23390.0,-2.0,-0.004629629629618913,-1646.0,485.0,-2131.0,5.115647712697515,3.427428129306788,0.013489736070381175,0.031026252983293645,
2020-12-18,436.75,849771.0,128812.0,439.0,250733.0,35957.0,-2.25,-0.00515168860903228,-759.0,2579.0,-3338.0,3.582390077036361,3.3891470209346064,0.01099537037037046,0.028857479387514706,
2020-12-21,440.0,845125.0,141947.0,441.75,251932.0,33145.0,-1.75,-0.003977272727263688,-4646.0,1199.0,-5845.0,4.282606728013146,3.3545758379245063,0.0074413279908414065,0.036513545347467646,
2020-12-22,443.0,848793.0,140992.0,443.5,253287.0,34063.0,-0.5,-0.0011286681715550143,3668.0,1355.0,2313.0,4.139153920676272,3.351111584881959,0.006818181818181834,0.042966450853443305,
2020-12-23,447.0,847087.0,147651.0,447.5,255554.0,43217.0,-0.5,-0.00111856823265969,-1706.0,2267.0,-3973.0,3.4165027651155007,3.314708437355693,0.009029345372460584,0.04868035190615827,
2020-12-24,450.5,844319.0,74879.0,446.25,256070.0,18148.0,4.25,0.009433962264130003,-2768.0,516.0,-3284.0,4.126019396076475,3.2972195102901423,0.007829977628635243,0.04282407407407418,
2020-12-28,456.5,836060.0,145219.0,456.75,257842.0,39206.0,-0.25,-0.0005476451259571793,-8259.0,1772.0,-10031.0,3.7039993878487043,3.2425283700870953,0.013318534961154205,0.045220377790498034,
2020-12-29,466.0,833728.0,191298.0,465.5,265308.0,65840.0,0.5,0.0010729613733882555,-2332.0,7466.0,-9798.0,2.905498177399713,3.1424909916022017,0.020810514786418377,0.05909090909090908,
2020-12-30,474.0,831878.0,163367.0,473.0,269386.0,48366.0,1.0,0.0021097046413457604,-1850.0,4078.0,-5928.0,3.3777240210064226,3.088052088824204,0.01716738197424883,0.06997742663656892,
2020-12-31,484.0,835996.0,168459.0,483.25,272697.0,43430.0,0.75,0.0015495867768563025,4118.0,3311.0,807.0,3.878862537416443,3.0656589548106394,0.021097046413502074,0.08277404921700215,
2021-01-04,484.5,831459.0,265157.0,484.75,281289.0,86562.0,-0.25,-0.0005159958720319588,-4537.0,8592.0,-13129.0,3.0632032531595494,2.9558887834220218,0.0010330578512396382,0.07547169811320753,
2021-01-05,492.5,826848.0,219646.0,492.5,290294.0,68287.0,0.0,0.0,-4611.0,9005.0,-13616.0,3.216512659803429,2.848312400531865,0.016511867905056654,0.07886089813800656,
2021-01-06,495.25,831675.0,202374.0,495.75,306621.0,79113.0,-0.5,-0.0010095911155961442,4827.0,16327.0,-11500.0,2.558037237874906,2.7123876055455995,0.005583756345177715,0.0627682403433476,
2021-01-07,494.0,824202.0,185782.0,495.0,325940.0,81336.0,-1.0,-0.0020242914979716107,-7473.0,19319.0,-26792.0,2.284130028523627,2.5286923973737423,-0.0025239777889954906,0.04219409282700415,
2021-01-08,496.25,819155.0,163270.0,497.0,331130.0,64602.0,-0.75,-0.0015113350125914129,-5047.0,5190.0,-10237.0,2.5273211355685192,2.473816929906676,0.0045546558704452345,0.025309917355371914,
2021-01-11,491.25,804053.0,176563.0,492.75,333786.0,65234.0,-1.5,-0.0030534351144976012,-15102.0,2656.0,-17758.0,2.7066100499738988,2.4088877304620255,-0.010075566750629705,0.01393188854489158,0.1696428571428572
2021-01-12,517.25,802695.0,248448.0,519.0,350866.0,118998.0,-1.75,-0.003383276945377703,-1358.0,17080.0,-18438.0,2.087833408964839,2.28775372934396,0.05292620865139952,0.05025380710659899,0.23448687350835318
2021-01-13,522.5,799333.0,327689.0,527.0,355642.0,140652.0,-4.5,-0.008612440191371078,-3362.0,4776.0,-8138.0,2.329785570059421,2.247577620191085,0.010149830836152729,0.055022715800100874,0.23085983510011787
2021-01-14,534.0,782102.0,210370.0,537.75,370387.0,100391.0,-3.75,-0.007022471910099209,-17231.0,14745.0,-31976.0,2.095506569313961,2.111580590031502,0.02200956937799048,0.08097165991902844,0.25795053003533575
