date,s1_bid,s1_oi,s1_vol,s2_bid,s2_oi,s2_vol,spread_c1_c2,spread_pct,d_c1_oi,d_c2_oi,roll_pressure,vol_ratio,oi_ratio,ret_1d,ret_5d,ret_21d
2020-12-09,1158.25,208104.0,121502.0,1163.5,300525.0,90650.0,-5.25,-0.004532700194254667,,,,1.3403419746276741,0.6924681806838011,,,
2020-12-10,1154.0,193333.0,202110.0,1157.0,311111.0,121428.0,-3.0,-0.0025996533795471406,-14771.0,10586.0,-25357.0,1.6644431267911712,0.6214277219384702,-0.003669328728685528,,
2020-12-11,1156.0,179304.0,129424.0,1160.0,326259.0,82893.0,-4.0,-0.0034602076124537542,-14029.0,15148.0,-29177.0,1.5613381105762663,0.5495756438902818,0.0017331022530329143,,
2020-12-14,1168.5,171289.0,101997.0,1173.5,326249.0,58809.0,-5.0,-0.004278990158318974,-8015.0,-10.0,-8005.0,1.7343773912156009,0.525025364062417,0.010813148788927363,,
2020-12-15,1182.5,163535.0,128713.0,1189.0,334272.0,71589.0,-6.5,-0.005496828752638057,-7754.0,8023.0,-15777.0,1.7979438181843328,0.48922733582232286,0.011981172443303434,,
2020-12-16,1181.75,148691.0,122886.0,1185.0,350634.0,95554.0,-3.25,-0.002750158662997461,-14844.0,16362.0,-31206.0,1.2860372145592933,0.4240632682512237,-0.0006342494714587366,0.020289229440966894,
2020-12-17,1204.5,141343.0,125030.0,1205.5,363880.0,102177.0,-1.0,-0.0008302200083015108,-7348.0,13246.0,-20594.0,1.2236609021599654,0.38843299989007257,0.019251110640998492,0.04376083188908142,
2020-12-18,1217.0,129368.0,110919.0,1220.5,376005.0,102066.0,-3.5,-0.002875924404270439,-11975.0,12125.0,-24100.0,1.0867379930633012,0.34405925453118885,0.010377750103777394,0.052768166089965485,
2020-12-21,1241.5,118882.0,129147.0,1247.0,389479.0,154422.0,-5.5,-0.004430124848969448,-10486.0,13474.0,-23960.0,0.8363251350196163,0.30523340154411327,0.020131470829909626,0.06247325631151046,
2020-12-22,1247.75,102115.0,102551.0,1251.0,391121.0,127913.0,-3.25,-0.0026046884391884555,-16767.0,1642.0,-18409.0,0.8017246096956462,0.2610828873929033,0.005034232782923809,0.0551797040169133,
2020-12-23,1256.0,86074.0,93382.0,1262.0,394312.0,121837.0,-6.0,-0.004777070063690464,-16041.0,3191.0,-19232.0,0.7664502573109911,0.21828907058369967,0.006611901422560518,0.06283054791622589,
2020-12-24,1261.0,61607.0,41312.0,1261.25,399338.0,69536.0,-0.25,-0.00019825535289437094,-24467.0,5026.0,-29493.0,0.5941095260009118,0.15427282151961458,0.00398089171974525,0.046907430469074196,
2020-12-28,1249.0,33750.0,56756.0,1256.75,400329.0,147552.0,-7.75,-0.0062049639711719735,-27857.0,991.0,-28848.0,0.38465083495987595,0.08430565859580474,-0.009516256938937317,0.02629416598192269,
2020-12-29,1295.0,15691.0,43283.0,1296.0,409271.0,162644.0,-1.0,-0.0007722007722001759,-18059.0,8942.0,-27001.0,0.26612109884164026,0.038338900141959634,0.03682946357085659,0.0430930326218284,
2020-12-30,1295.5,6001.0,24625.0,1298.0,411939.0,150666.0,-2.5,-0.00192975685063533,-9690.0,2668.0,-12358.0,0.16344098867693999,0.01456769084743126,0.0003861003861003187,0.03826888399118422,
2020-12-31,1312.0,4198.0,3634.0,1307.0,410499.0,115566.0,5.0,0.0038109756097531927,-1803.0,-1440.0,-363.0,0.0314452347576274,0.010226577896657459,0.012736395214203,0.04458598726114649,
2021-01-04,1307.0,3071.0,2421.0,1311.0,412568.0,200649.0,-4.0,-0.0030604437643434886,-1127.0,2069.0,-3196.0,0.012065846328663428,0.007443621415136396,-0.003810975609756073,0.03647898493259327,
2021-01-05,1342.0,2499.0,1194.0,1356.75,407859.0,204605.0,-14.75,-0.010991058122197472,-572.0,-4709.0,4137.0,0.005835634515285522,0.006127117459710326,0.026778882938025994,0.07445956765412332,
2021-01-06,1345.0,1962.0,880.0,1368.0,408541.0,161320.0,-23.0,-0.01710037174719918,-537.0,682.0,-1219.0,0.0054549962806843206,0.00480245556749505,0.0022354694485842153,0.03861003861003853,
2021-01-07,1350.0,1133.0,1097.0,1355.0,406514.0,150334.0,-5.0,-0.0037037037037009604,-829.0,-2027.0,1198.0,0.007297085157050253,0.002787111882985573,0.0037174721189590088,0.042068699343882576,
2021-01-08,1351.75,689.0,810.0,1375.0,405929.0,140360.0,-23.25,-0.01719992602181084,-444.0,-585.0,141.0,0.005770874893131906,0.0016973411606463157,0.001296296296296351,0.030297256097560954,
2021-01-11,1374.5,462.0,365.0,1372.5,392369.0,143484.0,2.0,0.0014550745725707857,-227.0,-13560.0,13333.0,0.002543837640433759,0.0011774630513623626,0.01683003513963377,0.05164498852333588,0.18670407943017486
